POZO,DEPTH,Unidad,X,Y,CALI,Core_GrnDn,Core_Kmax,Core_Por,Core_k_vert,GR,GR_Core,KLogs2,KTim,PEF,PHID,PHIE,PHIE1,PHIN,ResD,ResM,ResS,RHOB,Ro,RT,SwA,Vshl,Vshl1,FZI
Tarotaro-3,9661.3,Arena Guadalupe,1162545.28,983619.86,8.2315,2.633,2.664,0.133,NaN,53.1182,13,96.0222,53.5446,1.9409,0.1082,0.1263,0.107,0.1769,54.3536,46.0117,22.4599,2.4625,29.0517,70.9672,0.6325,0.1386,0.2705,0.916090531
Tarotaro-3,9662.4,Arena Guadalupe,1162545.28,983619.86,8.3175,2.632,1.277,0.119,NaN,72.4525,21.49,30.3929,10.6036,2.0327,0.071,0.1025,0.0782,0.1785,115.255,101.0847,43.9394,2.5236,34.8645,152.1847,0.456,0.2452,0.424,0.761518684
Tarotaro-3,9665.4,Arena Guadalupe,1162545.28,983619.86,8.2225,2.648,1.354,0.112,NaN,54.3545,17.7,106.5454,53.3095,1.9619,0.1083,0.1287,0.1033,0.1974,88.6133,72.8437,35.3191,2.4623,26.1175,101.2382,0.4955,0.1915,0.3509,0.865615276
Tarotaro-3,9666.7,Arena Guadalupe,1162545.28,983619.86,8.1909,2.627,54.863,0.155,NaN,43.8689,17.04,599.6462,512.1894,1.8862,0.168,0.176,0.1564,0.2175,156.4692,122.6589,28.9199,2.3645,17.5675,201.105,0.2897,0.0942,0.1952,3.22053917
Tarotaro-3,9667.3,Arena Guadalupe,1162545.28,983619.86,8.1773,2.637,215.045,0.183,NaN,34.8685,14.52,1274.6802,1462.0197,1.8313,0.2,0.2018,0.1967,0.211,164.2306,122.8527,22.792,2.3119,15.2167,223.6328,0.2598,0.0185,0.0433,4.805512869
Tarotaro-3,9667.8,Arena Guadalupe,1162545.28,983619.86,8.1909,2.639,1980.298,0.194,NaN,32.3047,12.09,1732.932,2179.1528,1.7987,0.217,0.2134,0.2134,0.2097,165.5038,119.9542,19.2239,2.2842,14.1121,231.899,0.2467,0,0,13.18036294
Tarotaro-3,9668.3,Arena Guadalupe,1162545.28,983619.86,8.1863,2.641,1706.38,0.232,NaN,33.1532,13.92,1704.4358,2137.0032,1.7751,0.2192,0.2127,0.2127,0.2061,161.7607,115.8988,18.291,2.2806,14.1861,227.8478,0.2495,0,0,8.914495434
Tarotaro-3,9669,Arena Guadalupe,1162545.28,983619.86,8.1999,2.64,2356.0859,0.244,NaN,32.2441,15.29,1334.0394,1601.2299,1.7599,0.2051,0.2035,0.2035,0.2019,141.4044,103.9287,19.1023,2.3037,15.3256,194.6473,0.2806,0,0,9.560096238
Tarotaro-3,9669.8,Arena Guadalupe,1162545.28,983619.86,8.1909,2.638,50.768,0.176,NaN,28.044,19.19,1004.7031,1128.3356,1.7714,0.1924,0.1933,0.1911,0.1973,128.728,98.9136,19.8174,2.3244,16.6029,176.0262,0.3067,0.008,0.0191,2.496794997
Tarotaro-3,9670.3,Arena Guadalupe,1162545.28,983619.86,8.1863,2.636,50.622,0.188,NaN,27.1955,18.97,930.9513,1017.2408,1.7816,0.189,0.1906,0.1867,0.1979,126.6185,99.0673,19.7566,2.33,16.8698,175.7992,0.3089,0.0148,0.035,2.225453648
Tarotaro-3,9670.7,Arena Guadalupe,1162545.28,983619.86,8.1818,2.634,2.348,0.119,NaN,27.7045,25.6,910.369,977.4048,1.7814,0.1876,0.1899,0.1843,0.2003,126.4011,98.8905,19.7566,2.3324,16.8549,178.9586,0.3056,0.0215,0.0501,1.03260485
Tarotaro-3,9671.5,Arena Guadalupe,1162545.28,983619.86,8.1886,2.63,28.687,0.166,NaN,25.4559,33.25,968.326,1059.1611,1.7629,0.1901,0.192,0.1873,0.2007,122.5492,91.7016,19.6453,2.3282,16.6044,180.4329,0.3023,0.0178,0.0417,2.073844233
Tarotaro-3,9672.3,Arena Guadalupe,1162545.28,983619.86,8.1909,2.639,271.09,0.209,NaN,25.5773,49.42,898.153,1002.9943,1.7607,0.1893,0.1894,0.1892,0.1898,133.4318,94.3849,20.1599,2.3295,17.3443,200.0429,0.2944,0.0009,0.0021,4.279996868
Tarotaro-3,9672.7,Arena Guadalupe,1162545.28,983619.86,8.1818,2.642,50.811,0.162,NaN,27.2987,49.75,906.9326,1010.8448,1.7694,0.1894,0.1897,0.189,0.1911,130.1501,90.4409,20.3515,2.3293,17.2541,196.0313,0.2965,0.0027,0.0065,2.876603576
Tarotaro-3,9673.2,Arena Guadalupe,1162545.28,983619.86,8.1637,2.638,326.426,0.21,NaN,29.2078,33.9,942.576,1023.9937,1.7786,0.1891,0.1911,0.1862,0.2002,126.9649,86.6048,20.2526,2.3299,16.7261,191.3838,0.2945,0.0188,0.0439,4.657149386
Tarotaro-3,9674,Arena Guadalupe,1162545.28,983619.86,8.1886,2.638,209.75,0.201,NaN,26.7287,25.44,1104.4939,1193.3031,1.7747,0.1934,0.1966,0.1875,0.2137,131.411,86.0508,19.8308,2.3228,15.6076,196.7522,0.2797,0.0352,0.08,4.032118861
Tarotaro-3,9674.5,Arena Guadalupe,1162545.28,983619.86,8.1999,2.637,76.418,0.183,NaN,27.3653,31.54,1271.5226,1455.0032,1.7599,0.1999,0.2017,0.1964,0.2114,127.8006,82.3179,19.0679,2.3122,15.2121,190.227,0.2817,0.0194,0.0454,2.864658811
Tarotaro-3,9675.3,Arena Guadalupe,1162545.28,983619.86,8.2135,2.641,302.494,0.222,NaN,28.153,54.05,1844.5417,2301.9294,1.7384,0.215,0.2158,0.213,0.2206,128.9402,80.9208,18.2089,2.2874,13.6907,191.0174,0.2673,0.0093,0.0222,4.061983601
Tarotaro-3,9676.3,Arena Guadalupe,1162545.28,983619.86,8.2067,2.64,314.307,0.23,NaN,27.3832,49.44,1691.9373,2118.5557,1.7475,0.2156,0.2124,0.2124,0.2092,133.3872,81.0683,17.7171,2.2864,14.2191,196.4292,0.269,0,0,3.886025498
Tarotaro-3,9676.9,Arena Guadalupe,1162545.28,983619.86,8.1841,2.64,299.68,0.219,NaN,27.2377,44.73,1560.2134,1925.6377,1.7528,0.2158,0.2093,0.2093,0.2026,137.6919,82.3505,17.3572,2.286,14.5872,202.443,0.2684,0,0,4.142317558
Tarotaro-3,9677.6,Arena Guadalupe,1162545.28,983619.86,8.2225,2.635,170.662,0.205,NaN,29.2136,48.59,1771.2706,2236.0554,1.7476,0.221,0.2142,0.2142,0.2072,134.867,80.0606,17.1928,2.2775,14.0151,197.644,0.2663,0,0,3.513455041
Tarotaro-3,9678.3,Arena Guadalupe,1162545.28,983619.86,8.2225,2.638,213.696,0.221,NaN,28.2925,71.56,2372.6465,3155.1882,1.7409,0.2264,0.2259,0.2259,0.2253,131.8478,77.0959,16.7706,2.2687,12.781,194.1717,0.2566,0,0,3.441730748
Tarotaro-3,9678.8,Arena Guadalupe,1162545.28,983619.86,8.2157,2.639,111.163,0.173,NaN,27.5714,77.34,2562.7864,3433.5381,1.7431,0.2288,0.229,0.228,0.2307,131.4163,75.65,16.6721,2.2648,12.4302,196.1236,0.2516,0.0031,0.0075,3.804925277
