POZO,DEPTH,Unidad,X,Y,CALI,Core_GrnDn,Core_Kmax,Core_Por,Core_k_vert,GR,GR_Core,KLogs2,KTim,PEF,PHID,PHIE,PHIE1,PHIN,ResD,ResM,ResS,RHOB,Ro,RT,SwA,Vshl,Vshl1,FZI
Jacana Sur-1,10126.5,Arena Guadalupe,1148751.74,975765.68,8.3336,2.636,895.087,0.225,NaN,31.9605,38.29,414.9974,144.0515,1.9732,0.1887,0.1647,0.1095,0.3417,186.8993,117.4737,84.205,2.3306,22.5273,186.8993,0.1518,0.4033,0.6033,6.821662016
Jacana Sur-1,10128.7,Arena Guadalupe,1148751.74,975765.68,8.25,2.636,3783.9939,0.242,NaN,19.9535,4.36,8182.5181,12876.8594,1.8519,0.2825,0.2827,0.2729,0.2975,371.5947,295.5138,184.8166,2.1767,50.3059,371.5947,0.3339,0.0256,0.0593,12.29846809
Jacana Sur-1,10129.3,Arena Guadalupe,1148751.74,975765.68,8.2587,2.635,NaN,0.236,825.1303546,20.3767,3.58,7794.6685,11985.7939,1.8978,0.28,0.2802,0.2681,0.299,468.0442,358.5496,243.9592,2.1807,49.2396,468.0442,0.2796,0.0327,0.0746,NaN
Jacana Sur-1,10130.8,Arena Guadalupe,1148751.74,975765.68,8.2525,2.644,3752.1221,0.235,NaN,23.2675,5.29,6089.7988,8339.7119,1.9116,0.2683,0.2679,0.2457,0.3049,660.1362,611.9583,358.2264,2.2001,44.7066,660.1362,0.1772,0.0669,0.1443,12.91599211
Jacana Sur-1,10132.1,Arena Guadalupe,1148751.74,975765.68,8.2564,2.638,5717.1221,0.25,NaN,25.0993,7.44,5011.0645,6780.1787,2.0523,0.258,0.2586,0.2402,0.2893,783.1333,633.8206,406.0233,2.217,49.3736,783.1333,0.173,0.0562,0.1234,14.24523546
Jacana Sur-1,10134.3,Arena Guadalupe,1148751.74,975765.68,8.2995,2.634,12048.4063,0.252,NaN,31.7342,7.37,5689.9766,7559.9849,1.9753,0.2651,0.2647,0.2403,0.3058,353.0449,381.1379,234.7928,2.2052,43.7697,353.0449,0.2654,0.0753,0.1604,20.37958036
Jacana Sur-1,10135.6,Arena Guadalupe,1148751.74,975765.68,8.295,2.635,3775.563,0.213,NaN,48.3959,17.75,2308.6038,2156.9944,1.9725,0.2262,0.2248,0.1862,0.3032,252.8448,208.0043,145.3283,2.2691,37.2658,252.8448,0.2391,0.1597,0.3038,15.44634874
Jacana Sur-1,10136.8,Arena Guadalupe,1148751.74,975765.68,8.2744,2.637,1486.962,0.248,NaN,46.6452,21.75,5016.6162,6464.6362,1.9962,0.2589,0.2587,0.2339,0.3013,222.6476,172.5849,91.849,2.2155,44.3511,222.6476,0.3628,0.0791,0.1675,7.372586938
Jacana Sur-1,10138.6,Arena Guadalupe,1148751.74,975765.68,8.545,2.642,267.693,0.231,NaN,29.7588,22.66,4691.3877,5503.5078,2.0171,0.258,0.2556,0.2217,0.3172,253.6812,181.0562,63.5995,2.2169,38.5611,253.6812,0.2778,0.1161,0.2333,3.55841442
Jacana Sur-1,10139.9,Arena Guadalupe,1148751.74,975765.68,8.6352,2.644,654.16,0.253,NaN,32.506,11.04,4332.0728,5126.8696,1.9291,0.253,0.2519,0.2209,0.3078,333.8084,247.3724,75.7219,2.225,40.855,333.8084,0.2386,0.1058,0.2158,4.714237525
